n,ijk,ikj,kij,kji,jki,jik
1,0.00,0.00,0.00,0.00,0.00,0.00
2,0.00,0.00,0.00,0.00,0.00,0.00
3,0.00,0.00,0.00,0.00,0.00,0.00
4,0.00,0.00,0.00,0.00,0.00,0.00
5,0.00,0.00,0.00,0.00,0.00,0.00
6,0.00,0.00,0.00,0.00,0.00,0.00
7,0.00,0.00,0.00,0.00,0.00,0.00
8,0.00,0.00,0.00,0.00,0.00,0.00
9,0.00,0.00,0.00,0.00,0.00,0.00
10,0.00,0.00,0.00,0.00,0.00,0.00
11,0.00,0.00,0.00,0.00,0.00,0.00
12,0.00,0.00,0.00,0.00,0.00,0.00
13,0.00,0.00,0.00,0.00,0.00,0.00
14,0.00,0.00,0.00,0.00,0.00,0.00
15,0.00,0.00,0.00,0.00,0.00,0.00
16,0.01,0.00,0.00,0.00,0.00,0.00
17,0.01,0.00,0.00,0.00,0.00,0.00
18,0.01,0.01,0.00,0.00,0.01,0.00
19,0.01,0.00,0.00,0.01,0.01,0.00
20,0.01,0.00,0.00,0.01,0.01,0.00
21,0.01,0.00,0.00,0.01,0.01,0.00
22,0.01,0.00,0.00,0.01,0.01,0.00
23,0.01,0.01,0.00,0.01,0.01,0.00
24,0.01,0.01,0.00,0.01,0.01,0.00
25,0.01,0.01,0.01,0.01,0.01,0.00
26,0.02,0.01,0.01,0.01,0.02,0.00
27,0.03,0.01,0.01,0.01,0.02,0.00
28,0.02,0.01,0.01,0.01,0.01,0.00
29,0.02,0.02,0.01,0.02,0.02,0.00
30,0.01,0.01,0.01,0.02,0.02,0.00
31,0.02,0.01,0.01,0.02,0.02,0.00
32,0.03,0.01,0.01,0.02,0.03,0.00
33,0.03,0.01,0.01,0.03,0.03,0.00
34,0.03,0.01,0.01,0.02,0.03,0.00
35,0.02,0.01,0.01,0.02,0.03,0.00
36,0.04,0.01,0.01,0.02,0.03,0.00
37,0.04,0.01,0.01,0.02,0.03,0.00
38,0.04,0.01,0.01,0.03,0.03,0.00
39,0.04,0.01,0.01,0.03,0.03,0.00
40,0.03,0.01,0.01,0.03,0.03,0.00
41,0.04,0.01,0.01,0.03,0.03,0.00
42,0.05,0.02,0.01,0.03,0.03,0.00
43,0.06,0.02,0.01,0.03,0.03,0.00
44,0.05,0.02,0.02,0.03,0.04,0.00
45,0.06,0.02,0.02,0.04,0.04,0.00
46,0.06,0.02,0.01,0.03,0.03,0.00
47,0.06,0.02,0.01,0.04,0.04,0.00
48,0.14,0.07,0.06,0.10,0.09,0.00
49,0.06,0.03,0.02,0.04,0.04,0.00
50,0.05,0.02,0.02,0.04,0.04,0.00
51,0.12,0.04,0.02,0.06,0.06,0.00
52,0.08,0.03,0.02,0.05,0.05,0.00
53,0.08,0.03,0.02,0.06,0.06,0.00
54,0.07,0.03,0.03,0.07,0.09,0.00
55,0.09,0.04,0.02,0.06,0.07,0.00
56,0.08,0.04,0.03,0.08,0.09,0.00
57,0.13,0.06,0.03,0.07,0.08,0.00
58,0.11,0.04,0.03,0.08,0.07,0.00
59,0.11,0.05,0.03,0.09,0.10,0.00
60,0.12,0.04,0.03,0.10,0.15,0.00
61,0.12,0.07,0.03,0.09,0.13,0.00
62,0.11,0.07,0.03,0.13,0.12,0.00
63,0.10,0.09,0.05,0.15,0.13,0.00
64,0.15,0.09,0.04,0.15,0.13,0.00
65,0.13,0.08,0.04,0.14,0.13,0.00
66,0.14,0.05,0.04,0.12,0.12,0.00
67,0.15,0.09,0.05,0.13,0.12,0.00
68,0.14,0.07,0.04,0.12,0.14,0.00
69,0.18,0.09,0.05,0.13,0.13,0.00
70,0.19,0.08,0.05,0.16,0.16,0.00
71,0.19,0.11,0.06,0.16,0.17,0.00
72,0.19,0.09,0.06,0.21,0.21,0.00
73,0.20,0.11,0.06,0.17,0.18,0.00
74,0.21,0.12,0.06,0.19,0.19,0.00
75,0.23,0.11,0.06,0.21,0.22,0.00
76,0.23,0.08,0.08,0.21,0.19,0.01
77,0.24,0.15,0.14,0.28,0.20,0.00
78,0.25,0.11,0.07,0.22,0.22,0.00
79,0.21,0.14,0.07,0.23,0.25,0.00
80,0.27,0.12,0.07,0.30,0.21,0.01
81,0.28,0.13,0.07,0.37,0.23,0.01
82,0.32,0.16,0.09,0.32,0.24,0.01
83,0.32,0.15,0.09,0.36,0.27,0.01
84,0.30,0.14,0.09,0.45,0.26,0.01
85,0.31,0.14,0.08,0.40,0.27,0.01
86,0.33,0.16,0.10,0.30,0.36,0.00
87,0.34,0.17,0.09,0.31,0.31,0.00
88,0.24,0.17,0.09,0.49,0.33,0.00
89,0.37,0.19,0.19,0.49,0.40,0.01
90,0.43,0.14,0.11,0.40,0.52,0.01
91,0.39,0.19,0.11,0.39,0.39,0.00
92,0.39,0.25,0.13,0.50,0.41,0.01
93,0.47,0.20,0.12,0.42,0.35,0.01
94,0.42,0.20,0.11,0.49,0.46,0.01
95,0.39,0.15,0.11,0.51,0.53,0.01
96,0.40,0.21,0.11,0.82,0.39,0.01
97,0.31,0.36,0.26,1.09,0.58,0.01
98,0.44,0.23,0.14,0.51,0.50,0.01
99,0.44,0.26,0.13,0.51,0.54,0.01
100,0.51,0.25,0.13,0.60,0.44,0.01
101,0.37,0.25,0.13,0.66,0.49,0.01
102,0.49,0.25,0.17,0.52,0.50,0.01
103,0.42,0.25,0.20,0.53,0.52,0.01
104,0.59,0.27,0.15,0.72,0.51,0.01
105,0.58,0.29,0.17,0.78,0.66,0.01
106,0.63,0.28,0.17,0.67,0.62,0.01
107,0.65,0.29,0.16,0.69,0.58,0.01
108,0.67,0.32,0.19,0.86,0.61,0.01
109,0.78,0.28,0.18,0.81,0.64,0.01
110,0.72,0.31,0.17,0.67,0.67,0.01
111,0.75,0.30,0.18,0.68,0.62,0.01
112,0.83,0.32,0.21,1.05,0.75,0.01
113,1.00,0.30,0.21,1.28,1.00,0.01
114,0.97,0.58,0.38,1.13,1.04,0.01
115,0.98,0.56,0.35,1.13,0.95,0.01
116,1.07,0.39,0.21,0.95,0.70,0.01
117,0.83,0.35,0.21,1.19,0.88,0.01
118,0.97,0.45,0.28,0.93,0.83,0.01
119,0.87,0.40,0.22,0.80,0.78,0.01
120,1.01,0.47,0.32,1.27,0.91,0.01
121,1.03,0.60,0.35,1.42,1.03,0.01
122,0.94,0.38,0.27,1.17,0.89,0.01
123,0.80,0.43,0.25,1.26,0.88,0.01
124,0.97,0.39,0.34,1.43,0.97,0.01
125,0.99,0.44,0.29,1.20,0.96,0.01
126,1.11,0.46,0.28,4.25,4.34,0.03
127,1.60,0.78,0.44,4.30,4.47,0.04
128,1.38,0.85,0.56,1.55,0.93,0.01
129,1.14,0.47,0.40,1.52,0.96,0.01
130,1.08,0.37,0.40,1.38,1.01,0.01
131,1.17,0.52,0.30,1.47,1.17,0.01
132,1.15,0.52,0.38,1.33,1.10,0.01
133,1.17,0.54,0.31,1.33,1.10,0.01
134,1.22,0.51,0.45,1.21,1.39,0.01
135,1.45,0.67,0.49,1.47,1.44,0.01
136,1.52,0.66,0.54,1.62,1.42,0.01
137,1.72,0.52,0.47,1.42,1.25,0.01
138,1.42,0.54,0.47,1.66,1.30,0.01
139,1.64,0.58,0.57,2.51,1.62,0.02
140,1.69,0.57,0.60,1.84,1.70,0.01
141,1.52,0.57,0.44,1.62,1.55,0.01
142,1.48,0.76,0.56,1.64,1.48,0.01
143,1.52,0.60,0.51,1.68,1.54,0.01
144,1.65,0.69,0.56,1.66,1.52,0.01
145,1.58,0.68,0.54,1.70,1.57,0.01
146,1.66,0.72,0.55,2.19,1.62,0.01
147,1.85,0.73,0.54,2.02,1.67,0.01
148,1.72,0.73,0.54,1.91,1.75,0.01
149,1.75,0.76,0.57,1.87,1.78,0.01
150,1.80,0.51,0.59,2.02,2.10,0.01
151,1.80,0.60,0.60,2.06,1.94,0.02
