n,add,in
1,0.00,0.00
2,0.00,0.00
3,0.00,0.00
4,0.00,0.00
5,0.00,0.00
6,0.00,0.00
7,0.00,0.00
8,0.00,0.00
9,0.00,0.00
10,0.00,0.00
11,0.00,0.00
12,0.00,0.00
13,0.00,0.00
14,0.00,0.00
15,0.00,0.00
16,0.00,0.00
17,0.00,0.00
18,0.00,0.00
19,0.00,0.00
20,0.00,0.00
21,0.00,0.00
22,0.00,0.00
23,0.00,0.00
24,0.00,0.00
25,0.00,0.00
26,0.00,0.00
27,0.00,0.00
28,0.00,0.00
29,0.00,0.00
30,0.00,0.00
31,0.00,0.00
32,0.00,0.00
33,0.00,0.00
34,0.00,0.00
35,0.00,0.00
36,0.00,0.00
37,0.00,0.00
38,0.00,0.00
39,0.00,0.00
40,0.00,0.00
41,0.00,0.00
42,0.00,0.00
43,0.00,0.00
44,0.00,0.00
45,0.00,0.00
46,0.00,0.00
47,0.00,0.00
48,0.00,0.00
49,0.00,0.00
50,0.00,0.00
51,0.00,0.00
52,0.00,0.00
53,0.00,0.00
54,0.00,0.00
55,0.00,0.00
56,0.00,0.00
57,0.00,0.00
58,0.00,0.00
59,0.00,0.00
60,0.00,0.00
61,0.00,0.00
62,0.01,0.00
63,0.01,0.00
64,0.01,0.00
65,0.00,0.00
66,0.00,0.00
67,0.00,0.00
68,0.00,0.00
69,0.00,0.00
70,0.01,0.00
71,0.01,0.00
72,0.00,0.00
73,0.01,0.00
74,0.00,0.00
75,0.00,0.00
76,0.01,0.00
77,0.00,0.00
78,0.00,0.00
79,0.00,0.00
80,0.01,0.00
81,0.01,0.00
82,0.00,0.00
83,0.00,0.00
84,0.01,0.00
85,0.01,0.00
86,0.00,0.00
87,0.00,0.00
88,0.01,0.00
89,0.01,0.00
90,0.00,0.00
91,0.00,0.00
92,0.01,0.00
93,0.01,0.00
94,0.01,0.00
95,0.01,0.00
96,0.01,0.00
97,0.01,0.00
98,0.00,0.00
99,0.00,0.00
100,0.01,0.00
101,0.01,0.00
102,0.00,0.00
103,0.01,0.00
104,0.01,0.00
105,0.01,0.00
106,0.00,0.00
107,0.00,0.00
108,0.01,0.00
109,0.01,0.00
110,0.01,0.00
111,0.01,0.00
112,0.01,0.00
113,0.01,0.00
114,0.00,0.00
115,0.01,0.00
116,0.01,0.00
117,0.01,0.00
118,0.01,0.01
119,0.01,0.00
120,0.01,0.00
121,0.01,0.00
122,0.01,0.01
123,0.01,0.01
124,0.01,0.00
125,0.02,0.01
126,0.05,0.05
127,0.04,0.04
128,0.01,0.01
129,0.01,0.01
130,0.02,0.01
131,0.01,0.01
132,0.01,0.01
133,0.01,0.01
134,0.01,0.01
135,0.01,0.01
136,0.01,0.01
137,0.01,0.01
138,0.01,0.01
139,0.01,0.01
140,0.01,0.01
141,0.01,0.01
142,0.01,0.01
143,0.01,0.01
144,0.01,0.01
145,0.01,0.01
146,0.01,0.01
147,0.01,0.01
148,0.01,0.01
149,0.02,0.01
150,0.01,0.01
151,0.01,0.01
152,0.02,0.01
153,0.02,0.01
154,0.01,0.01
155,0.01,0.01
156,0.02,0.01
157,0.02,0.01
158,0.03,0.02
159,0.03,0.02
160,0.02,0.01
161,0.02,0.01
162,0.01,0.01
163,0.01,0.01
164,0.02,0.01
165,0.02,0.01
166,0.01,0.01
167,0.01,0.01
168,0.02,0.01
169,0.02,0.01
170,0.01,0.01
171,0.02,0.01
172,0.02,0.01
173,0.03,0.01
174,0.03,0.01
175,0.03,0.01
176,0.03,0.01
177,0.02,0.01
178,0.01,0.01
179,0.01,0.01
180,0.03,0.01
181,0.03,0.01
182,0.01,0.02
183,0.01,0.01
184,0.02,0.01
185,0.02,0.01
186,0.02,0.01
187,0.01,0.01
188,0.02,0.01
189,0.02,0.01
190,0.07,0.07
191,0.07,0.08
192,0.02,0.01
193,0.02,0.01
194,0.02,0.02
195,0.02,0.01
196,0.02,0.01
197,0.02,0.01
198,0.07,0.02
199,0.02,0.01
200,0.03,0.01
201,0.03,0.02
202,0.02,0.01
203,0.02,0.02
204,0.02,0.02
205,0.03,0.02
206,0.06,0.02
207,0.06,0.02
208,0.03,0.02
209,0.03,0.02
210,0.02,0.02
211,0.02,0.02
212,0.03,0.02
213,0.03,0.02
214,0.02,0.02
215,0.03,0.02
216,0.03,0.02
217,0.03,0.02
218,0.02,0.02
219,0.03,0.02
220,0.03,0.02
221,0.04,0.02
222,0.07,0.07
223,0.09,0.08
224,0.04,0.04
225,0.04,0.03
226,0.03,0.02
227,0.02,0.02
228,0.03,0.02
229,0.03,0.02
230,0.03,0.02
231,0.03,0.03
232,0.03,0.02
233,0.07,0.02
234,0.02,0.02
235,0.02,0.02
236,0.03,0.02
237,0.03,0.02
238,0.08,0.03
239,0.08,0.03
240,0.03,0.02
241,0.04,0.02
242,0.03,0.03
243,0.03,0.02
244,0.04,0.02
245,0.06,0.03
246,0.10,0.04
247,0.04,0.04
