n,ij,ji
1,0.00,0.00
2,0.00,0.00
3,0.00,0.00
4,0.00,0.00
5,0.00,0.00
6,0.00,0.00
7,0.00,0.00
8,0.00,0.00
9,0.00,0.00
10,0.00,0.00
11,0.00,0.00
12,0.00,0.00
13,0.00,0.00
14,0.00,0.00
15,0.00,0.00
16,0.00,0.00
17,0.00,0.00
18,0.00,0.00
19,0.00,0.00
20,0.00,0.00
21,0.00,0.00
22,0.00,0.00
23,0.00,0.00
24,0.00,0.00
25,0.00,0.00
26,0.00,0.00
27,0.00,0.00
28,0.00,0.00
29,0.00,0.00
30,0.00,0.00
31,0.00,0.00
32,0.00,0.00
33,0.00,0.00
34,0.00,0.00
35,0.00,0.00
36,0.00,0.00
37,0.00,0.00
38,0.00,0.00
39,0.00,0.00
40,0.00,0.00
41,0.01,0.00
42,0.00,0.00
43,0.00,0.00
44,0.00,0.00
45,0.00,0.00
46,0.00,0.00
47,0.00,0.00
48,0.00,0.00
49,0.00,0.00
50,0.00,0.00
51,0.00,0.00
52,0.00,0.00
53,0.11,0.00
54,0.01,0.00
55,0.01,0.00
56,0.01,0.00
57,0.01,0.00
58,0.01,0.00
59,0.01,0.00
60,0.01,0.00
61,0.01,0.00
62,0.02,0.00
63,0.02,0.00
64,0.01,0.00
65,0.01,0.00
66,0.01,0.00
67,0.01,0.00
68,0.01,0.01
69,0.01,0.01
70,0.01,0.01
71,0.01,0.01
72,0.01,0.01
73,0.01,0.01
74,0.01,0.01
75,0.01,0.01
76,0.01,0.01
77,0.01,0.01
78,0.01,0.01
79,0.01,0.01
80,0.01,0.01
81,0.01,0.01
82,0.01,0.01
83,0.01,0.01
84,0.02,0.01
85,0.02,0.01
86,0.01,0.01
87,0.01,0.01
88,0.02,0.01
89,0.02,0.01
90,0.01,0.01
91,0.01,0.01
92,0.02,0.01
93,0.02,0.01
94,0.03,0.01
95,0.03,0.01
96,0.02,0.01
97,0.01,0.01
98,0.01,0.01
99,0.01,0.01
100,0.01,0.01
101,0.01,0.01
102,0.01,0.01
103,0.01,0.01
104,0.02,0.01
105,0.02,0.01
106,0.01,0.01
107,0.01,0.01
108,0.02,0.01
109,0.02,0.01
110,0.02,0.01
111,0.01,0.01
112,0.02,0.01
113,0.02,0.01
114,0.01,0.01
115,0.01,0.01
116,0.02,0.01
117,0.02,0.01
118,0.02,0.01
119,0.02,0.01
120,0.03,0.01
121,0.03,0.01
122,0.01,0.01
123,0.02,0.01
124,0.04,0.01
125,0.02,0.01
126,0.08,0.02
127,0.08,0.02
128,0.04,0.01
129,0.03,0.01
130,0.02,0.01
131,0.02,0.01
132,0.03,0.01
133,0.03,0.01
134,0.02,0.01
135,0.02,0.01
136,0.03,0.01
137,0.03,0.01
138,0.02,0.01
139,0.02,0.01
140,0.03,0.01
141,0.03,0.01
142,0.03,0.01
143,0.02,0.01
144,0.03,0.01
145,0.03,0.01
146,0.02,0.01
147,0.02,0.01
148,0.03,0.01
149,0.03,0.01
150,0.02,0.01
151,0.02,0.01
152,0.03,0.01
153,0.03,0.01
154,0.02,0.01
155,0.02,0.01
156,0.03,0.01
157,0.03,0.01
158,0.06,0.03
159,0.06,0.02
160,0.03,0.01
161,0.03,0.02
162,0.03,0.02
163,0.03,0.02
164,0.04,0.02
165,0.04,0.02
166,0.03,0.02
167,0.03,0.02
168,0.04,0.02
169,0.04,0.02
170,0.02,0.02
171,0.02,0.02
172,0.04,0.02
173,0.04,0.04
174,0.05,0.03
175,0.05,0.02
176,0.04,0.02
177,0.04,0.02
178,0.03,0.02
179,0.03,0.02
180,0.04,0.02
181,0.04,0.02
182,0.03,0.02
183,0.03,0.02
184,0.04,0.02
185,0.04,0.02
186,0.03,0.02
187,0.03,0.02
188,0.04,0.02
189,0.07,0.02
190,0.14,0.04
191,0.15,0.04
192,0.07,0.02
193,0.07,0.03
194,0.03,0.03
195,0.03,0.03
196,0.06,0.03
197,0.05,0.03
198,0.05,0.03
199,0.05,0.03
200,0.06,0.03
201,0.06,0.03
202,0.04,0.03
203,0.04,0.03
204,0.06,0.03
205,0.05,0.03
206,0.12,0.04
207,0.12,0.04
208,0.06,0.03
209,0.06,0.03
210,0.04,0.03
211,0.04,0.03
212,0.08,0.03
213,0.08,0.03
214,0.05,0.03
215,0.05,0.03
216,0.08,0.03
217,0.08,0.03
218,0.04,0.03
219,0.04,0.03
220,0.08,0.03
221,0.09,0.03
222,0.16,0.06
223,0.14,0.06
224,0.09,0.03
225,0.09,0.03
226,0.04,0.04
227,0.04,0.04
228,0.10,0.03
229,0.09,0.03
230,0.06,0.04
231,0.06,0.04
232,0.10,0.04
233,0.10,0.04
234,0.05,0.04
235,0.05,0.04
236,0.10,0.04
237,0.10,0.05
238,0.15,0.07
239,0.15,0.07
240,0.11,0.04
241,0.10,0.04
242,0.06,0.04
243,0.05,0.04
244,0.10,0.04
245,0.11,0.11
246,0.06,0.05
247,0.06,0.04
